id,nombre_crudo,etiquetas,x_gk,y_gk,lat,lon,en_mapa
001,14 Provincias,10,4333403.18,6442552.13,-32.147938,-64.766515,si
002,2 de Abril,6,4334226.58,6442605.1,-32.147582,-64.757782,si
003,25 de Mayo,6,4333032.89,6441567.94,-32.156754,-64.770609,si
004,9 de Julio,9,4333528.33,6442299.38,-32.150235,-64.765233,si
005,Aguila Mora,4,4333843.34,6440893.23,-32.162956,-64.762139,si
006,Almafuerte,6,4334201.12,6443512.52,-32.139399,-64.757894,si
007,Almirante Brown,3,4332918.5,6443236.63,-32.141696,-64.77153,si
008,Alsina,4,4332887.35,6441375.82,-32.158464,-64.772185,si
009,Anisacate,1,4333110.14,6445246.41,-32.123609,-64.76915,si
010,Arrecifes,1,4333670.62,6441482.43,-32.157619,-64.763867,si
011,Arroyito,3,4333147.61,6444468.56,-32.130626,-64.768889,si
012,Arturo Humberto Illia,14,4334254.32,6443698.03,-32.137735,-64.757299,si
013,Atahualpa Yupanqui,22,4334483.67,6442827.01,-32.145619,-64.75502,si
014,Av Jose Marrero,9,4333521.1,6441809.85,-32.154646,-64.765394,si
015,"Av, Virgen de los 3 Cerritos",4,4332438.71,6441751.3,-32.155013,-64.776873,si
016,Av. Central,9,4333140.7,6441439.55,-32.157927,-64.769489,si
017,Av. Costanera,6,4332609.92,6441300.63,-32.159101,-64.775138,si
018,Av. del Parque,9,4333216.23,6441299.97,-32.159197,-64.768713,si
019,Av. Jesus de los Linderos,6,4331981.92,6440858.93,-32.162988,-64.781869,si
020,Av. Lanza Donatti,9,4333390.51,6441703.82,-32.155582,-64.766796,si
021,Av. Los Sauces,9,4333422.49,6441977.87,-32.153117,-64.76641,si
022,Av. Virgen,2,4332844.64,6441168.35,-32.160328,-64.772674,si
023,Av. Virgen de la Merced,7,4333407.88,6441115.34,-32.160889,-64.766715,si
024,Avenida Ascasubi,9,4333857.33,6443737.08,-32.137324,-64.761498,si
025,Avenida Yacanto,21,4334856.94,6442367.91,-32.149812,-64.751144,no
026,Balnearia,4,4333485.21,6444693.05,-32.128652,-64.765274,si
027,Bartolome Mitre,11,4333971.86,6443787.91,-32.136883,-64.760276,si
028,Belgrano,9,4333118.64,6441518.57,-32.157212,-64.769709,si
029,Bell Ville,2,4334517.05,6443302.64,-32.141337,-64.754584,si
030,Bella Vista,6,4333202.38,6443834.52,-32.136349,-64.768419,si
031,Benjamin Franklin,1,4332604.13,6440196.53,-32.169052,-64.775392,no
032,Bosque Alto,3,4333270.65,6441194.77,-32.160153,-64.768155,si
033,Brasil,2,4333797.72,6443321.2,-32.141064,-64.762201,si
034,Buchardo,6,4333021.22,6442360.88,-32.149605,-64.770595,si
035,Buenos Aires,3,4333468.0,6442028.61,-32.152666,-64.765919,si
036,C. Velez,1,4333959.02,6441366.91,-32.158703,-64.760831,si
037,Calchaqui,3,4333135.41,6443636.24,-32.138126,-64.769163,si
038,Capilla del Monte,2,4333075.87,6444460.69,-32.130686,-64.76965,si
039,Carcaraña,4,4333012.03,6443210.41,-32.141946,-64.770544,si
040,Carlos Arcusin,1,4331956.71,6440429.63,-32.166854,-64.782212,no
041,Carlos Ballestrini,2,4332764.07,6441851.65,-32.154157,-64.773408,si
042,Carmen Marcos Gigena,1,4333962.59,6441407.57,-32.158337,-64.760786,si
043,Carquejilla,4,4332352.87,6442067.59,-32.152149,-64.777727,si
044,Catania,3,4334289.62,6442222.31,-32.151041,-64.75718,si
045,Cementerio,1,4333827.83,6440839.14,-32.163441,-64.762313,si
