handle,id_calle,nombre_crudo,x_gk,y_gk
109A64,001,14 Provincias,4333414.78,6442752.93
109A6B,001,14 Provincias,4333537.49,6442823.23
109A6C,001,14 Provincias,4333691.93,6442908.17
109A71,001,14 Provincias,4333802.2,6442970.83
109D62,001,14 Provincias,4333388.68,6442669.3
109D63,001,14 Provincias,4333361.24,6442499.32
109D64,001,14 Provincias,4333331.17,6442313.49
109D65,001,14 Provincias,4333246.69,6442226.69
109D66,001,14 Provincias,4333166.3,6442158.23
109D67,001,14 Provincias,4333091.32,6442199.08
1091AC,002,2 de Abril,4333889.9,6442598.69
1091B4,002,2 de Abril,4334081.33,6442601.7
1091B5,002,2 de Abril,4334228.12,6442605.28
1091B6,002,2 de Abril,4334372.96,6442608.31
1091B7,002,2 de Abril,4334560.61,6442611.5
1091B8,002,2 de Abril,4334742.09,6442614.06
250E5,003,25 de Mayo,4333079.97,6441588.4
10AA67,003,25 de Mayo,4332969.17,6441619.8
10AA68,003,25 de Mayo,4332841.97,6441657.15
10ABC1,003,25 de Mayo,4333246.73,6441493.8
10ABC2,003,25 de Mayo,4333373.62,6441348.78
10ABCB,003,25 de Mayo,4332685.91,6441699.71
366E2,004,9 de Julio,4333596.16,6442585.03
109A66,004,9 de Julio,4333639.5,6442661.14
109A69,004,9 de Julio,4333766.38,6442732.96
10A333,004,9 de Julio,4333566.5,6442485.34
10A337,004,9 de Julio,4333532.7,6442366.05
10A33B,004,9 de Julio,4333469.49,6442150.1
10A33C,004,9 de Julio,4333442.33,6442056.5
10A4C1,004,9 de Julio,4333392.84,6441902.79
10A4C2,004,9 de Julio,4333349.1,6441754.48
10BCD5,005,Aguila Mora,4333843.34,6440893.23
10BCDF,005,Aguila Mora,4333846.21,6440683.45
10BCE4,005,Aguila Mora,4333849.99,6440444.79
10BCE7,005,Aguila Mora,4333852.18,6440230.05
108C03,006,Almafuerte,4334669.03,6443522.51
108C05,006,Almafuerte,4334505.38,6443518.09
108C07,006,Almafuerte,4334351.92,6443515.73
108C09,006,Almafuerte,4334202.43,6443512.01
108C0B,006,Almafuerte,4334058.09,6443509.27
108C0D,006,Almafuerte,4333887.8,6443507.52
109783,007,Almirante Brown,4332776.73,6443157.09
109789,007,Almirante Brown,4332922.5,6443239.91
10978A,007,Almirante Brown,4333056.26,6443312.89
10ABC8,008,Alsina,4332916.42,6441540.58
10ABD1,008,Alsina,4332899.94,6441437.9
10ABD4,008,Alsina,4332882.38,6441310.39
10B023,008,Alsina,4332850.65,6441214.42
108366,009,Anisacate,4333110.14,6445246.41
24558,010,Arrecifes,4333670.62,6441482.43
1084CF,011,Arroyito,4333155.5,6444154.17
1084D3,011,Arroyito,4333146.69,6444493.96
1084D5,011,Arroyito,4333140.62,6444757.54
108079,012,Arturo Humberto Illia,4334247.08,6444177.92
1081D7,012,Arturo Humberto Illia,4334236.1,6444639.19
1081DC,012,Arturo Humberto Illia,4334227.59,6445054.04
108A8A,012,Arturo Humberto Illia,4334250.21,6443961.69
108A98,012,Arturo Humberto Illia,4334254.54,6443712.28
108D76,012,Arturo Humberto Illia,4334256.59,6443549.56
108D79,012,Arturo Humberto Illia,4334261.31,6443385.74
1091C9,012,Arturo Humberto Illia,4334261.31,6443250.67
109330,012,Arturo Humberto Illia,4334268.58,6442975.9
10949C,012,Arturo Humberto Illia,4334270.76,6442812.62
1094A6,012,Arturo Humberto Illia,4334275.49,6442620.6
1094B1,012,Arturo Humberto Illia,4334279.28,6442391.47
118FCD,012,Arturo Humberto Illia,4334230.96,6444815.1
120F95,012,Arturo Humberto Illia,4334240.73,6444425.6
108073,013,Atahualpa Yupanqui,4334414.55,6445057.38
108074,013,Atahualpa Yupanqui,4334423.69,6444646.68
108075,013,Atahualpa Yupanqui,4334435.85,6444181.96
108A8D,013,Atahualpa Yupanqui,4334467.99,6443962.4
108A9B,013,Atahualpa Yupanqui,4334472.94,6443708.25
108D70,013,Atahualpa Yupanqui,4334475.28,6443548.87
108D73,013,Atahualpa Yupanqui,4334479.22,6443383.38
1091C8,013,Atahualpa Yupanqui,4334479.22,6443248.3
109331,013,Atahualpa Yupanqui,4334485.92,6442986.9
10949D,013,Atahualpa Yupanqui,4334488.11,6442823.62
1094A7,013,Atahualpa Yupanqui,4334492.84,6442631.61
1094AC,013,Atahualpa Yupanqui,4334497.83,6442396.77
10C74D,013,Atahualpa Yupanqui,4334500.65,6442249.84
10C9FD,013,Atahualpa Yupanqui,4334502.07,6442126.5
10CA00,013,Atahualpa Yupanqui,4334505.6,6441974.36
10CA03,013,Atahualpa Yupanqui,4334508.23,6441826.38
10CA06,013,Atahualpa Yupanqui,4334513.81,6441540.73
10CA09,013,Atahualpa Yupanqui,4334509.98,6441689.13
10CA0C,013,Atahualpa Yupanqui,4334516.85,6441402.78
10CA0F,013,Atahualpa Yupanqui,4334519.37,6441270.45
10CA12,013,Atahualpa Yupanqui,4334521.43,6441098.24
11ACDC,013,Atahualpa Yupanqui,4334429.33,6444439.64
2446C,014,Av Jose Marrero,4333071.84,6441940.28
10A4A8,014,Av Jose Marrero,4333190.56,6441907.44
10A4A9,014,Av Jose Marrero,4333302.24,6441873.56
10A4AA,014,Av Jose Marrero,4333414.14,6441841.38
10A4AB,014,Av Jose Marrero,4333521.54,6441809.36
10A4AC,014,Av Jose Marrero,4333623.34,6441779.51
10A4AD,014,Av Jose Marrero,4333838.19,6441717.6
10A4AE,014,Av Jose Marrero,4333992.01,6441672.58
10A8EA,014,Av Jose Marrero,4333736.07,6441746.96
10A046,015,"Av, Virgen de los 3 Cerritos",4332431.11,6442061.78
10A047,015,"Av, Virgen de los 3 Cerritos",4332365.87,6441879.2
10A048,015,"Av, Virgen de los 3 Cerritos",4332452.85,6441661.29
10A04A,015,"Av, Virgen de los 3 Cerritos",4332505.01,6441402.94
10AA5A,016,Av. Central,4333561.6,6441590.45
10AA5B,016,Av. Central,4333466.89,6441541.34
10AA5C,016,Av. Central,4333376.58,6441440.06
10AA5D,016,Av. Central,4333262.36,6441388.07
10AA5E,016,Av. Central,4333140.9,6441368.41
10AA5F,016,Av. Central,4333044.43,6441379.13
10AA60,016,Av. Central,4332939.29,6441394.22
10AA61,016,Av. Central,4332828.2,6441412.44
10AA62,016,Av. Central,4332646.05,6441441.82
10ABCD,017,Av. Costanera,4332607.63,6441613.36
10ABCE,017,Av. Costanera,4332605.79,6441517.2
10ABCF,017,Av. Costanera,4332641.79,6441390.49
10B188,017,Av. Costanera,4332614.5,6441109.13
10B189,017,Av. Costanera,4332575.3,6441165.97
10B190,017,Av. Costanera,4332614.5,6441007.64
245B8,018,Av. del Parque,4333785.51,6441476.88
10AA4A,018,Av. del Parque,4333505.82,6441284.69
10AA4B,018,Av. del Parque,4333644.73,6441346.04
10AA4C,018,Av. del Parque,4333375.84,6441256.99
10AA4D,018,Av. del Parque,4333219.82,6441235.91
10AA4E,018,Av. del Parque,4333059.26,6441240.33
10AA4F,018,Av. del Parque,4332908.0,6441267.26
10AA50,018,Av. del Parque,4332772.06,6441288.23
10AA51,018,Av. del Parque,4332675.0,6441303.38
10B47F,019,Av. Jesus de los Linderos,4331584.11,6440900.42
10B480,019,Av. Jesus de los Linderos,4331716.41,6440732.64
10B481,019,Av. Jesus de los Linderos,4331913.34,6440596.95
10B482,019,Av. Jesus de los Linderos,4332020.05,6440628.25
10B483,019,Av. Jesus de los Linderos,4332083.11,6440814.91
10B484,019,Av. Jesus de los Linderos,4332278.53,6440861.45
24474,020,Av. Lanza Donatti,4333030.28,6441821.56
10A4AF,020,Av. Lanza Donatti,4333154.06,6441787.07
10A4B0,020,Av. Lanza Donatti,4333271.08,6441744.26
10A4B1,020,Av. Lanza Donatti,4333367.77,6441708.83
10A4B2,020,Av. Lanza Donatti,4333475.82,6441670.18
10A4B3,020,Av. Lanza Donatti,4333787.91,6441574.58
10A4B4,020,Av. Lanza Donatti,4333670.79,6441605.66
10A620,020,Av. Lanza Donatti,4332796.56,6441892.11
10A787,020,Av. Lanza Donatti,4333960.28,6441530.12
1B795,021,Av. Los Sauces,4334060.95,6441826.75
10A329,021,Av. Los Sauces,4333909.78,6441869.83
10A32A,021,Av. Los Sauces,4333759.19,6441909.47
10A32B,021,Av. Los Sauces,4333561.4,6441966.55
10A32C,021,Av. Los Sauces,4333445.76,6441995.26
10A32D,021,Av. Los Sauces,4333219.89,6442042.5
10A32E,021,Av. Los Sauces,4333065.05,6442076.32
10A626,021,Av. Los Sauces,4332967.61,6442053.73
10A627,021,Av. Los Sauces,4332812.8,6442060.43
10B016,022,Av. Virgen,4332885.84,6441153.04
10B018,022,Av. Virgen,4332803.45,6441183.66
10AEB1,023,Av. Virgen de la Merced,4333753.12,6441153.74
10B010,023,Av. Virgen de la Merced,4333647.95,6441124.72
10B011,023,Av. Virgen de la Merced,4333511.53,6441066.82
10B012,023,Av. Virgen de la Merced,4333398.63,6441105.61
10B013,023,Av. Virgen de la Merced,4333301.08,6441107.89
10B014,023,Av. Virgen de la Merced,4333187.93,6441145.4
10B015,023,Av. Virgen de la Merced,4333054.92,6441103.18
10807D,024,Avenida Ascasubi,4333863.72,6444165.22
1081DB,024,Avenida Ascasubi,4333852.74,6444626.49
1081E0,024,Avenida Ascasubi,4333844.19,6445041.74
108923,024,Avenida Ascasubi,4333866.32,6443942.88
108924,024,Avenida Ascasubi,4333863.19,6443657.14
108925,024,Avenida Ascasubi,4333860.98,6443429.72
108926,024,Avenida Ascasubi,4333858.67,6443215.22
108927,024,Avenida Ascasubi,4333856.39,6442953.81
108928,024,Avenida Ascasubi,4333849.81,6442601.5
1091CB,025,Avenida Yacanto,4334851.1,6443249.93
1091CC,025,Avenida Yacanto,4334851.1,6443390.25
1091CD,025,Avenida Yacanto,4334843.0,6443648.63
1091CE,025,Avenida Yacanto,4334839.38,6443899.15
1091CF,025,Avenida Yacanto,4334825.09,6444231.7
1091D0,025,Avenida Yacanto,4334818.06,6444661.16
1091D1,025,Avenida Yacanto,4334811.2,6445045.68
109334,025,Avenida Yacanto,4334855.98,6443007.99
1094A9,025,Avenida Yacanto,4334855.98,6442830.88
1094AA,025,Avenida Yacanto,4334860.56,6442626.3
1094AB,025,Avenida Yacanto,4334863.16,6442388.92
10C1FE,025,Avenida Yacanto,4334863.16,6442207.16
10C1FF,025,Avenida Yacanto,4334866.29,6441936.38
10C200,025,Avenida Yacanto,4334868.37,6441647.67
10C201,025,Avenida Yacanto,4334869.35,6441441.46
10C202,025,Avenida Yacanto,4334872.97,6441214.2
10C203,025,Avenida Yacanto,4334868.44,6440957.86
10C204,025,Avenida Yacanto,4334872.15,6440678.94
10C205,025,Avenida Yacanto,4334877.05,6440455.72
10C206,025,Avenida Yacanto,4334879.0,6440223.26
10C207,025,Avenida Yacanto,4334884.3,6439982.95
108369,026,Balnearia,4333471.98,6445253.42
10836D,026,Balnearia,4333481.47,6444848.43
108371,026,Balnearia,4333489.51,6444497.51
1084CD,026,Balnearia,4333497.88,6444172.85
10807B,027,Bartolome Mitre,4333965.59,6444175.04
1081D9,027,Bartolome Mitre,4333954.61,6444636.31
1081DF,027,Bartolome Mitre,4333898.58,6444881.88
1081E1,027,Bartolome Mitre,4334051.81,6445102.68
108929,027,Bartolome Mitre,4333961.23,6443959.85
108A94,027,Bartolome Mitre,4333965.56,6443710.44
108D7A,027,Bartolome Mitre,4333968.3,6443551.01
1091C4,027,Bartolome Mitre,4333974.8,6443250.52
1091D4,027,Bartolome Mitre,4333979.79,6442978.82
109498,027,Bartolome Mitre,4333983.38,6442805.22
1094A1,027,Bartolome Mitre,4333986.76,6442615.29
10A4C5,028,Belgrano,4333020.64,6441972.97
