id,nombre_crudo,nombre,tipo,homenaje,estado,nota,fuente
041,Carlos Ballestrini,,,,,,
042,Carmen Marcos Gigena,,,,,,
043,Carquejilla,,,,,,
044,Catania,,,,,,
045,Cementerio,,,,,,
046,Charcal,,,,,,
047,Charcas,,,,,,
048,Che Guevara,,,,,,
049,Chilecito,,,,,,
050,Colombia,,,,,,
051,Colonias Unidas,,,,,,
052,Concejal Alfredo Busto,,,,,,
053,Concejal Palacios,,,,,,
054,Concejal Peñaloza,,,,,,
055,Cordoba,,,,,,
056,Corrientes,,,,,,
057,Cosquin,,,,,,
058,Cr. San Agustin,,,,,,
059,Cristiane Quirino,,,,,,
060,Cruz del Eje,,,,,,
