id,nombre_crudo,nombre,tipo,homenaje,estado,nota,fuente,estado_final,lote,x_dibujo,y_dibujo,dentro_recorte
001,14 Provincias,,,,en_consulta,No se pudo establecer a que alude el nombre. Consultar a la Municipalidad antes de proponer nota,,en_consulta,lote-01.csv,4333403.18,6442552.13,si
002,2 de Abril,2 de Abril,calle,fecha,propuesta,Ejemplo de conservación del rótulo; la interpretación del nombre requiere fuente municipal.,Rótulo del plano recibido; se conserva la grafía. Referente del homenaje por confirmar.,propuesta,lote-01.csv,4334226.58,6442605.1,si
003,25 de Mayo,25 de Mayo,calle,fecha,propuesta,Ejemplo de conservación del rótulo; la interpretación del nombre requiere fuente municipal.,Rótulo del plano recibido; se conserva la grafía. Referente del homenaje por confirmar.,propuesta,lote-01.csv,4333032.89,6441567.94,si
004,9 de Julio,9 de Julio,calle,fecha,propuesta,Ejemplo de conservación del rótulo; la interpretación del nombre requiere fuente municipal.,Rótulo del plano recibido; se conserva la grafía. Referente del homenaje por confirmar.,propuesta,lote-01.csv,4333528.33,6442299.38,si
005,Aguila Mora,,,,en_consulta,Posible tilde en Águila. Confirmar grafía oficial y referente antes de proponer el cambio.,,en_consulta,lote-01.csv,4333843.34,6440893.23,si
006,Almafuerte,Almafuerte,calle,persona,propuesta,Ejemplo de conservación del rótulo; la interpretación del nombre requiere fuente municipal.,Rótulo del plano recibido; se conserva la grafía. Referente del homenaje por confirmar.,propuesta,lote-01.csv,4334201.12,6443512.52,si
007,Almirante Brown,Almirante Brown,calle,persona,propuesta,Ejemplo de conservación del rótulo; la interpretación del nombre requiere fuente municipal.,Rótulo del plano recibido; se conserva la grafía. Referente del homenaje por confirmar.,propuesta,lote-01.csv,4332918.5,6443236.63,si
008,Alsina,,,,en_consulta,Hay varios Alsina en la historia argentina. Confirmar a cual homenajea la calle,,en_consulta,lote-01.csv,4332887.35,6441375.82,si
009,Anisacate,,,,en_consulta,Anisacate es tambien una localidad de Cordoba. Confirmar si el nombre alude a ella,,en_consulta,lote-01.csv,4333110.14,6445246.41,si
010,Arrecifes,Arrecifes,calle,lugar,propuesta,Ejemplo de conservación del rótulo; la interpretación del nombre requiere fuente municipal.,Rótulo del plano recibido; se conserva la grafía. Referente del homenaje por confirmar.,propuesta,lote-01.csv,4333670.62,6441482.43,si
011,Arroyito,,,,,,,sin_revisar,lote-02.csv,4333147.61,6444468.56,si
012,Arturo Humberto Illia,,,,,,,sin_revisar,lote-02.csv,4334254.32,6443698.03,si
013,Atahualpa Yupanqui,,,,,,,sin_revisar,lote-02.csv,4334483.67,6442827.01,si
014,Av Jose Marrero,,,,,,,sin_revisar,lote-02.csv,4333521.1,6441809.85,si
015,"Av, Virgen de los 3 Cerritos",,,,,,,sin_revisar,lote-02.csv,4332438.71,6441751.3,si
016,Av. Central,,,,,,,sin_revisar,lote-02.csv,4333140.7,6441439.55,si
017,Av. Costanera,,,,,,,sin_revisar,lote-02.csv,4332609.92,6441300.63,si
018,Av. del Parque,,,,,,,sin_revisar,lote-02.csv,4333216.23,6441299.97,si
019,Av. Jesus de los Linderos,,,,,,,sin_revisar,lote-02.csv,4331981.92,6440858.93,si
020,Av. Lanza Donatti,,,,,,,sin_revisar,lote-02.csv,4333390.51,6441703.82,si
021,Av. Los Sauces,,,,,,,sin_revisar,lote-03.csv,4333422.49,6441977.87,si
022,Av. Virgen,,,,,,,sin_revisar,lote-03.csv,4332844.64,6441168.35,si
023,Av. Virgen de la Merced,,,,,,,sin_revisar,lote-03.csv,4333407.88,6441115.34,si
024,Avenida Ascasubi,,,,,,,sin_revisar,lote-03.csv,4333857.33,6443737.08,si
025,Avenida Yacanto,,,,,,,sin_revisar,lote-03.csv,4334856.94,6442367.91,no
026,Balnearia,,,,,,,sin_revisar,lote-03.csv,4333485.21,6444693.05,si
027,Bartolome Mitre,,,,,,,sin_revisar,lote-03.csv,4333971.86,6443787.91,si
028,Belgrano,,,,,,,sin_revisar,lote-03.csv,4333118.64,6441518.57,si
029,Bell Ville,,,,,,,sin_revisar,lote-03.csv,4334517.05,6443302.64,si
030,Bella Vista,,,,,,,sin_revisar,lote-03.csv,4333202.38,6443834.52,si
031,Benjamin Franklin,,,,,,,sin_revisar,lote-03.csv,4332604.13,6440196.53,no
032,Bosque Alto,,,,,,,sin_revisar,lote-03.csv,4333270.65,6441194.77,si
033,Brasil,,,,,,,sin_revisar,lote-03.csv,4333797.72,6443321.2,si
034,Buchardo,,,,,,,sin_revisar,lote-03.csv,4333021.22,6442360.88,si
035,Buenos Aires,,,,,,,sin_revisar,lote-03.csv,4333468.0,6442028.61,si
036,C. Velez,,,,,,,sin_revisar,lote-03.csv,4333959.02,6441366.91,si
037,Calchaqui,,,,,,,sin_revisar,lote-03.csv,4333135.41,6443636.24,si
038,Capilla del Monte,,,,,,,sin_revisar,lote-03.csv,4333075.87,6444460.69,si
039,Carcaraña,,,,,,,sin_revisar,lote-03.csv,4333012.03,6443210.41,si
040,Carlos Arcusin,,,,,,,sin_revisar,lote-03.csv,4331956.71,6440429.63,no
041,Carlos Ballestrini,,,,,,,sin_revisar,lote-04.csv,4332764.07,6441851.65,si
042,Carmen Marcos Gigena,,,,,,,sin_revisar,lote-04.csv,4333962.59,6441407.57,si
043,Carquejilla,,,,,,,sin_revisar,lote-04.csv,4332352.87,6442067.59,si
044,Catania,,,,,,,sin_revisar,lote-04.csv,4334289.62,6442222.31,si
045,Cementerio,,,,,,,sin_revisar,lote-04.csv,4333827.83,6440839.14,si
046,Charcal,,,,,,,sin_revisar,lote-04.csv,4332337.59,6441364.92,si
047,Charcas,,,,,,,sin_revisar,lote-04.csv,4333885.98,6441958.36,si
048,Che Guevara,,,,,,,sin_revisar,lote-04.csv,4334725.17,6442014.23,no
049,Chilecito,,,,,,,sin_revisar,lote-04.csv,4332658.78,6443347.76,si
050,Colombia,,,,,,,sin_revisar,lote-04.csv,4333552.93,6443044.99,si
051,Colonias Unidas,,,,,,,sin_revisar,lote-04.csv,4333093.53,6443606.72,si
052,Concejal Alfredo Busto,,,,,,,sin_revisar,lote-04.csv,4334338.68,6443011.16,si
